unique_id,timestamp,country,y_pred,y_proba,target_date,model_version,runtime
394bf49f-29a2-44d0-9d1a-b355f1c4b739,1618771943.5231574,all,[182592.5223],None,2018-01-05,0.1,000:00:36
ad045c27-6096-492e-8434-98797a6761a8,1618773145.901592,all,[182592.5223],None,2018-01-05,0.1,000:00:32
3dd43786-627c-4002-8a71-3821575fcc6a,1618819030.1642702,all,[182592.5223],None,2018-01-05,0.1,000:01:39
49a3113e-11ad-4b3b-9255-ee16a580e2e5,1618822184.439936,eire,[3870.81333333],None,2017-12-02,0.1,000:00:36
e96f4f5f-d188-429f-8d94-6a21b005939f,1618822256.6488748,eire,[3870.81333333],None,2017-12-02,0.1,000:00:33
7938ccb8-4f69-4846-ad06-649c572816e5,1618822307.1925774,eire,[3870.81333333],None,2017-12-02,0.1,000:00:34
34abcbe9-69b7-4f7d-8bfe-a2d9f92a55d9,1618822463.1206017,eire,[3870.81333333],None,2017-12-02,0.1,000:00:34
bdb58c2c-3a7e-4b37-91e8-27dc4b6c2ff2,1618822558.0797365,eire,[3870.81333333],None,2017-12-02,0.1,000:00:33
3b315e0d-727f-4b6f-a1c3-9abb267d3d0a,1618822978.2319732,eire,[3870.81333333],None,2017-12-02,0.1,000:00:33
6659768a-bdfc-46cb-afcb-546af605120c,1618823063.918546,eire,[3870.81333333],None,2017-12-02,0.1,000:00:39
cf719608-059f-4e9d-8496-1419752f7d5e,1618823120.335596,eire,[3870.81333333],None,2017-12-02,0.1,000:00:41
32c29f43-fa39-4b0f-badb-403e1c83e140,1618823227.2929435,eire,[3870.81333333],None,2017-12-02,0.1,000:00:37
15027c9c-84c7-49c6-ac4a-4f1ee1fa5c1f,1618823288.4140487,eire,[3870.81333333],None,2017-12-02,0.1,000:00:34
8e1733af-dd2d-443f-a41f-112b02c015ca,1618823339.7087114,eire,[3870.81333333],None,2017-12-02,0.1,000:00:32
e6fa2e1e-4740-4ac0-aaa3-317775a4fc83,1618823503.3005643,eire,[3870.81333333],None,2017-12-02,0.1,000:00:36
155feca1-22cc-4335-a48b-be2adcc7374a,1618823870.1070576,eire,[3870.81333333],None,2017-12-02,0.1,000:00:33
8029ed2b-37cc-412a-b63f-6850d2670a83,1618824131.5804682,eire,[3488.69333333],None,2017-12-05,0.1,000:00:32
aa99e6d9-5266-4e8a-8133-4b4f1bcdca17,1618826496.6468918,eire,[3488.69333333],None,2017-12-05,0.1,000:00:41
60565a77-52a6-4efa-8e7d-473eb76673e0,1618827429.5268946,all,[182592.5223],None,2018-01-05,0.1,000:00:33
091a9ebe-86fb-49f2-b5fa-c779b6d35342,1618828560.982458,all,[182592.5223],None,2018-01-05,0.1,000:00:32
e298ea42-3502-4311-a583-d2cb0e00b54b,1618831531.3246634,all,[182592.5223],None,2018-01-05,0.1,000:00:35
